Freq,Burst,BurstBegin,BurstEnd,Degree,Centrality,Sigma,PageRank,Label,Author,Year,Title,Source,Vol,Page,Half-life,DOI,ClusterID
39,3.56,2016,2020,52,0.22,2.00,0.00,terrain classification,,2016,,,,,,,4
30,3.42,2022,2023,50,0.17,1.71,0.00,classification,,2016,,,,,,,4
24,0.00,,,46,0.11,1.00,0.00,navigation,,2016,,,,,,,2
26,0.00,,,44,0.13,1.00,0.00,feature extraction,,2017,,,,,,,5
18,3.00,2018,2022,40,0.12,1.39,0.00,obstacle detection,,2016,,,,,,,3
28,0.00,,,39,0.14,1.00,0.00,semantic segmentation,,2018,,,,,,,0
23,0.00,,,35,0.12,1.00,0.00,deep learning,,2018,,,,,,,0
18,0.00,,,35,0.05,1.00,0.00,autonomous vehicles,,2018,,,,,,,2
18,3.16,2024,2026,34,0.04,1.14,0.00,laser radar,,2022,,,,,,,1
12,0.00,,,32,0.07,1.00,0.00,autonomous driving,,2017,,,,,,,5
19,0.00,,,31,0.10,1.00,0.00,field robots,,2020,,,,,,,7
11,2.86,2019,2021,28,0.04,1.12,0.00,system,,2019,,,,,,,3
10,0.00,,,27,0.06,1.00,0.00,autonomous navigation,,2019,,,,,,,1
17,2.90,2024,2026,27,0.03,1.09,0.00,point cloud compression,,2023,,,,,,,1
15,4.85,2020,2022,25,0.05,1.25,0.00,sensor fusion,,2020,,,,,,,3
13,3.29,2024,2026,23,0.01,1.05,0.00,three-dimensional displays,,2024,,,,,,,1
7,0.00,,,23,0.03,1.00,0.00,computer vision,,2016,,,,,,,5
15,3.50,2023,2026,22,0.03,1.12,0.00,segmentation,,2023,,,,,,,2
7,0.00,,,22,0.03,1.00,0.00,autonomous robots,,2017,,,,,,,1
6,0.00,,,21,0.07,1.00,0.00,traversability analysis,,2021,,,,,,,6
8,0.00,,,19,0.03,1.00,0.00,fusion,,2022,,,,,,,2
7,0.00,,,19,0.04,1.00,0.00,machine learning,,2021,,,,,,,2
9,0.00,,,19,0.02,1.00,0.00,simultaneous localization and mapping,,2024,,,,,,,1
9,0.00,,,18,0.04,1.00,0.00,model,,2017,,,,,,,2
10,3.51,2024,2026,18,0.06,1.24,0.00,localization,,2024,,,,,,,6
6,0.00,,,17,0.04,1.00,0.00,autonomous vehicle navigation,,2021,,,,,,,7
5,0.00,,,17,0.01,1.00,0.00,lidar,,2016,,,,,,,2
8,2.62,2019,2022,17,0.02,1.07,0.00,autonomous vehicle,,2016,,,,,,,5
7,0.00,,,17,0.02,1.00,0.00,mobile robots,,2022,,,,,,,2
8,0.00,,,16,0.02,1.00,0.00,robot,,2019,,,,,,,3
4,0.00,,,16,0.02,1.00,0.00,artificial intelligence,,2023,,,,,,,2
3,0.00,,,15,0.01,1.00,0.00,3d,,2024,,,,,,,1
2,0.00,,,14,0.01,1.00,0.00,3d lidar data,,2024,,,,,,,4
3,0.00,,,14,0.01,1.00,0.00,camera,,2020,,,,,,,3
4,0.00,,,14,0.01,1.00,0.00,real-time systems,,2024,,,,,,,1
3,0.00,,,13,0.00,1.00,0.00,image segmentation,,2017,,,,,,,5
4,0.00,,,13,0.01,1.00,0.00,traversability estimation,,2024,,,,,,,4
4,0.00,,,13,0.01,1.00,0.00,3d lidar,,2018,,,,,,,3
9,0.00,,,13,0.02,1.00,0.00,robot sensing systems,,2021,,,,,,,1
6,0.00,,,13,0.01,1.00,0.00,vision,,2016,,,,,,,4
4,0.00,,,13,0.01,1.00,0.00,neural networks,,2020,,,,,,,2
4,0.00,,,13,0.01,1.00,0.00,vision-based navigation,,2023,,,,,,,7
8,0.00,,,13,0.01,1.00,0.00,robot navigation,,2022,,,,,,,4
3,0.00,,,12,0.01,1.00,0.00,unstructured environment,,2023,,,,,,,2
5,0.00,,,12,0.01,1.00,0.00,object detection,,2020,,,,,,,5
3,0.00,,,12,0.01,1.00,0.00,extraction,,2020,,,,,,,3
4,0.00,,,12,0.00,1.00,0.00,data fusion,,2021,,,,,,,2
8,0.00,,,12,0.01,1.00,0.00,robust,,2020,,,,,,,1
3,0.00,,,12,0.01,1.00,0.00,adaptation models,,2023,,,,,,,0
4,0.00,,,11,0.01,1.00,0.00,mobile robot,,2016,,,,,,,0
4,0.00,,,11,0.01,1.00,0.00,registration,,2023,,,,,,,4
4,0.00,,,11,0.05,1.00,0.00,rough terrain,,2016,,,,,,,6
2,0.00,,,11,0.01,1.00,0.00,location awareness,,2026,,,,,,,7
3,0.00,,,10,0.00,1.00,0.00,data mining,,2019,,,,,,,5
6,0.00,,,10,0.00,1.00,0.00,tracking,,2019,,,,,,,0
2,0.00,,,10,0.00,1.00,0.00,collision avoidance,,2020,,,,,,,3
1,0.00,,,9,0.00,1.00,0.00,ambient skeleton,,2024,,,,,,,1
1,0.00,,,9,0.00,1.00,0.00,3-d lidar odometry,,2024,,,,,,,1
4,0.00,,,9,0.00,1.00,0.00,multi-sensor fusion,,2021,,,,,,,3
2,0.00,,,9,0.00,1.00,0.00,representation learning,,2025,,,,,,,1
6,0.00,,,9,0.02,1.00,0.00,off-road environment,,2021,,,,,,,0
2,0.00,,,9,0.01,1.00,0.00,central processing unit,,2026,,,,,,,7
2,0.00,,,9,0.01,1.00,0.00,driving environments,,2020,,,,,,,5
2,0.00,,,9,0.00,1.00,0.00,systems,,2018,,,,,,,0
4,0.00,,,8,0.01,1.00,0.00,traversability,,2018,,,,,,,0
3,0.00,,,8,0.01,1.00,0.00,autonomous exploration,,2022,,,,,,,6
1,0.00,,,8,0.00,1.00,0.00,attentional fusion,,2024,,,,,,,1
2,0.00,,,8,0.00,1.00,0.00,deep neural network,,2019,,,,,,,5
3,0.00,,,8,0.01,1.00,0.00,circuits and systems,,2026,,,,,,,7
1,0.00,,,8,0.00,1.00,0.00,aware,,2024,,,,,,,1
2,0.00,,,7,0.00,1.00,0.00,communication systems,,2026,,,,,,,7
2,0.00,,,7,0.00,1.00,0.00,negative obstacles,,2022,,,,,,,3
2,0.00,,,7,0.00,1.00,0.00,extreme learning machine,,2017,,,,,,,5
2,0.00,,,7,0.01,1.00,0.00,data collection,,2022,,,,,,,12
9,0.00,,,7,0.01,1.00,0.00,odometry,,2016,,,,,,,3
2,0.00,,,7,0.00,1.00,0.00,images,,2021,,,,,,,3
4,0.00,,,7,0.00,1.00,0.00,unmanned ground vehicle (ugv),,2023,,,,,,,3
2,0.00,,,7,0.00,1.00,0.00,regional area networks,,2026,,,,,,,7
2,0.00,,,7,0.01,1.00,0.00,attention mechanism,,2023,,,,,,,1
1,0.00,,,7,0.00,1.00,0.00,extrinsic calibration,,2020,,,,,,,3
2,0.00,,,7,0.00,1.00,0.00,vehicle dynamics,,2024,,,,,,,2
1,0.00,,,7,0.00,1.00,0.00,covariance matrices,,2026,,,,,,,1
2,0.00,,,7,0.00,1.00,0.00,radio access networks,,2026,,,,,,,7
3,0.00,,,7,0.01,1.00,0.00,deep learning methods,,2021,,,,,,,8
1,0.00,,,7,0.00,1.00,0.00,dirt roads,,2022,,,,,,,5
3,0.00,,,7,0.01,1.00,0.00,path planning,,2025,,,,,,,6
2,0.00,,,7,0.01,1.00,0.00,autonomous aerial vehicles,,2023,,,,,,,12
5,0.00,,,7,0.01,1.00,0.00,autonomous ground vehicles,,2022,,,,,,,3
2,0.00,,,6,0.00,1.00,0.00,agricultural robotics,,2018,,,,,,,2
3,0.00,,,6,0.01,1.00,0.00,field robotics,,2018,,,,,,,6
2,0.00,,,6,0.00,1.00,0.00,driver assistance,,2016,,,,,,,5
1,0.00,,,6,0.00,1.00,0.00,3-d object detection,,2026,,,,,,,1
2,0.00,,,6,0.00,1.00,0.00,semantic scene understanding,,2023,,,,,,,7
6,0.00,,,6,0.00,1.00,0.00,terrain traversability,,2024,,,,,,,1
1,0.00,,,6,0.00,1.00,0.00,features,,2020,,,,,,,7
2,0.00,,,6,0.00,1.00,0.00,road detection,,2018,,,,,,,0
1,0.00,,,6,0.00,1.00,0.00,combination,,2020,,,,,,,7
2,0.00,,,6,0.00,1.00,0.00,representation,,2025,,,,,,,4
3,0.00,,,6,0.01,1.00,0.00,predictive models,,2025,,,,,,,0
